,user,datetime,text,link,image,gif
22,raradiohead,2023-07-23T12:15:08.000Z,"Radiohead
Street Spirit (Fade Out)$",/raradiohead$/raradiohead$/raradiohead$/raradiohead/status/1683088355469463552$/raradiohead/status/1683088355469463552/analytics$,https://pbs.twimg.com/profile_images/698544776719659011/Uy_pkNr-_normal.jpg$https://pbs.twimg.com/ext_tw_video_thumb/1683088153559851009/pu/img/07fDGiYi-YlDsxe5.jpg$,blob:https://twitter.com/7208f25f-cf21-44e7-8ee8-ae8661bb60ab$
23,raradiohead,2023-07-21T07:59:18.000Z,"Radiohead
Karma Police$",/raradiohead$/raradiohead$/raradiohead$/raradiohead/status/1682299194764328960$/raradiohead/status/1682299194764328960/analytics$,https://pbs.twimg.com/profile_images/698544776719659011/Uy_pkNr-_normal.jpg$https://pbs.twimg.com/ext_tw_video_thumb/1682299061767143426/pu/img/WJWloIMuDcW7_UmE.jpg$,blob:https://twitter.com/5de83176-b017-4e43-b41d-f45ca41d36f8$
24,raradiohead,2023-07-19T11:38:15.000Z,"Radiohead
High And Dry (Top Of The Pops)$",/raradiohead$/raradiohead$/raradiohead$/raradiohead/status/1681629519202123776$/raradiohead/status/1681629519202123776/analytics$,https://pbs.twimg.com/profile_images/698544776719659011/Uy_pkNr-_normal.jpg$https://pbs.twimg.com/ext_tw_video_thumb/1681629374225993728/pu/img/MyAz6Js0Wav4BVoX.jpg$,blob:https://twitter.com/dd4e80b6-9d24-4c0a-8237-759d4fa8c0cb$
25,raradiohead,2023-07-17T11:16:18.000Z,"Radiohead
Paranoid Android$",/raradiohead$/raradiohead$/raradiohead$/raradiohead/status/1680899218922426369$/raradiohead/status/1680899218922426369/analytics$,https://pbs.twimg.com/profile_images/698544776719659011/Uy_pkNr-_normal.jpg$https://pbs.twimg.com/ext_tw_video_thumb/1680898838180278273/pu/img/Hm93fas58UnkW-Sf.jpg$,blob:https://twitter.com/2fa9b5ce-eac3-43f8-b754-b66c6883063a$
26,raradiohead,2023-07-15T12:45:35.000Z,"Radiohead
How to Disappear Completely
(Canal Plus 2001) 

""That there, that's not me
I go where I please
I walk through walls
I float down the Liffey

I'm not here
This isn't happening
I'm not here
I'm not here""$",/raradiohead$/raradiohead$/raradiohead$/raradiohead/status/1680196913449271296$/i/status/1642939058765676561$/raradiohead/status/1680196913449271296/analytics$,https://pbs.twimg.com/profile_images/698544776719659011/Uy_pkNr-_normal.jpg$https://pbs.twimg.com/ext_tw_video_thumb/1627314134751784960/pu/img/bd4Jwe8wOhDLfuON.jpg$,blob:https://twitter.com/c0dfe6db-18d0-4cb5-a970-dde1793339b0$
27,raradiohead,2023-07-13T12:12:43.000Z,"The Smile
Free In The Knowledge$",/raradiohead$/raradiohead$/raradiohead$/raradiohead/status/1679463866856779776$/raradiohead/status/1679463866856779776/analytics$,https://pbs.twimg.com/profile_images/698544776719659011/Uy_pkNr-_normal.jpg$https://pbs.twimg.com/ext_tw_video_thumb/1679463616016449542/pu/img/4GYaX_rhnIK9_-AU.jpg$,blob:https://twitter.com/3533b1a5-d754-4ed9-ba83-1e41917758ca$
28,raradiohead,2023-07-12T02:18:45.000Z,"Radiohead
15 step$",/raradiohead$/raradiohead$/raradiohead$/raradiohead/status/1678952003089883140$/i/status/1540313438425350145$/raradiohead/status/1678952003089883140/analytics$,https://pbs.twimg.com/profile_images/698544776719659011/Uy_pkNr-_normal.jpg$https://pbs.twimg.com/media/FWBK4SPaMAABX2z.jpg$,blob:https://twitter.com/28203dd4-e7dc-4355-b6a9-3df5796cac42$
29,raradiohead,2023-07-10T21:47:33.000Z,"Radiohead
You (acoustic, 1994)$",/raradiohead$/raradiohead$/raradiohead$/raradiohead/status/1678521364972544000$/i/status/1538411103017119744$/raradiohead/status/1678521364972544000/analytics$,https://pbs.twimg.com/profile_images/698544776719659011/Uy_pkNr-_normal.jpg$https://pbs.twimg.com/media/FVmIuMjaUAA_j9H.jpg$,blob:https://twitter.com/18b35312-4df5-4f9e-9ef9-3cbdee834dba$
30,raradiohead,2023-07-08T14:41:34.000Z,"Radiohead
Creep$",/raradiohead$/raradiohead$/raradiohead$/raradiohead/status/1677689385079435265$/raradiohead/status/1677689385079435265/analytics$,https://pbs.twimg.com/profile_images/698544776719659011/Uy_pkNr-_normal.jpg$https://pbs.twimg.com/ext_tw_video_thumb/1677689056409579521/pu/img/t2InrrN-paBBnV-N.jpg$,blob:https://twitter.com/472afb72-f1a7-466a-b55f-d9e3ff466b7f$
31,raradiohead,2023-07-06T21:07:38.000Z,"Radiohead
There There (Acoustic)$",/raradiohead$/raradiohead$/raradiohead$/raradiohead/status/1677061769272127488$/i/status/1539988644303613952$/raradiohead/status/1677061769272127488/analytics$,https://pbs.twimg.com/profile_images/698544776719659011/Uy_pkNr-_normal.jpg$https://pbs.twimg.com/media/FV8jflfaIAEhjak.jpg$,blob:https://twitter.com/2cfa96e5-91a9-419f-8e40-c23faa828cc1$
32,raradiohead,2023-07-05T13:25:09.000Z,Thom Yorke In University$,/raradiohead$/raradiohead$/raradiohead$/raradiohead/status/1676582990888198144$/i/status/1539131906079748096$/raradiohead/status/1676582990888198144/analytics$,https://pbs.twimg.com/profile_images/698544776719659011/Uy_pkNr-_normal.jpg$https://pbs.twimg.com/media/FVwYR2DaUAAKT4j.jpg$,blob:https://twitter.com/6ebcbf2d-154a-427c-8e13-4eb635cd795e$
33,raradiohead,2023-07-03T11:08:48.000Z,"Radiohead
Staircase$",/raradiohead$/raradiohead$/raradiohead$/raradiohead/status/1675823901878927360$/i/status/1539133266187665408$/raradiohead/status/1675823901878927360/analytics$,https://pbs.twimg.com/profile_images/698544776719659011/Uy_pkNr-_normal.jpg$https://pbs.twimg.com/media/FVwZfQ1acAAtTlE.jpg$,blob:https://twitter.com/85e72162-0263-4ac1-bf2a-3a1a26e9fd21$
34,raradiohead,2023-07-02T08:08:11.000Z,"Radiohead
Airbag (live on Later)$",/raradiohead$/raradiohead$/raradiohead$/raradiohead/status/1675416063058796544$/i/status/1662692761596993536$/raradiohead/status/1675416063058796544/analytics$,https://pbs.twimg.com/profile_images/698544776719659011/Uy_pkNr-_normal.jpg$https://pbs.twimg.com/ext_tw_video_thumb/1662692541882585089/pu/img/ZBAFFk72ROhWgLG-.jpg$,blob:https://twitter.com/6cdf7e4f-6d00-4ee0-b9f3-44b671440902$
35,raradiohead,2023-07-01T15:46:11.000Z,"Radiohead
No Surprises (Original sound MV)
The Thom Yorke song is muffled in the water.$",/raradiohead$/raradiohead$/raradiohead$/raradiohead/status/1675168933681446912$/i/status/1541338211326525440$/raradiohead/status/1675168933681446912/analytics$,https://pbs.twimg.com/profile_images/698544776719659011/Uy_pkNr-_normal.jpg$https://pbs.twimg.com/ext_tw_video_thumb/1268648597773402112/pu/img/EUqJMhZ5RVsXni2P.jpg$,blob:https://twitter.com/9db8dc00-e731-4971-9786-d02074d7a986$
